id,timestamp,service,severity,error_code,message,cause,resolution,occurrence_count,tags
1,2025-12-03T00:00:36.488432,order,INFO,ERR_6227,Service returned 500,timeout,apply patch,230,"timeout,retry"
2,2025-12-02T20:58:36.488432,postgres,CRITICAL,ERR_3037,Service returned 500,bad deployment,contact infra,264,"config,db"
3,2025-11-30T09:27:36.488432,redis,INFO,ERR_4772,Unhandled exception in worker,schema mismatch,increase resources,56,"timeout,config"
4,2025-11-13T17:55:36.488432,mongo,CRITICAL,ERR_6130,Service returned 500,schema mismatch,fix code,498,"network,retry"
5,2025-11-28T10:16:36.488432,api-gateway,WARNING,ERR_6094,Database connection refused,insufficient resources,restart service,31,"timeout,network"
6,2025-11-12T01:40:36.488432,payment,INFO,ERR_4289,Database connection refused,network issue,restart service,181,"timeout,retry"
7,2025-11-28T09:40:36.488432,order,ERROR,ERR_1168,Service returned 500,schema mismatch,contact infra,195,"retry,network"
8,2025-12-01T03:27:36.488432,search,INFO,ERR_8455,Out of memory error,network issue,contact infra,16,"config,network"
9,2025-11-07T19:35:36.488432,payment,WARNING,ERR_3938,Null pointer dereference,timeout,apply patch,469,"retry,network"
10,2025-11-08T08:45:36.488432,postgres,ERROR,ERR_2278,Timeout calling downstream service,invalid credentials,apply patch,455,"config,retry"
11,2025-11-18T18:59:36.488432,payment,WARNING,ERR_2542,Service returned 500,bad deployment,fix code,58,"db,network"
12,2025-11-23T01:34:36.488432,user,ERROR,ERR_1279,Service returned 500,insufficient resources,apply patch,32,"db,network"
13,2025-11-28T12:28:36.488432,payment,CRITICAL,ERR_3604,Permission denied accessing resource,insufficient resources,contact infra,74,"network,config"
14,2025-11-24T02:54:36.488432,order,CRITICAL,ERR_9854,Database connection refused,schema mismatch,apply patch,175,"config,db"
15,2025-11-25T07:37:36.488432,search,ERROR,ERR_9462,Out of memory error,bad deployment,fix code,122,"db,retry"
16,2025-11-13T10:58:36.488432,mongo,CRITICAL,ERR_7653,Permission denied accessing resource,insufficient resources,contact infra,241,"db,timeout"
17,2025-11-25T09:47:36.488432,order,CRITICAL,ERR_5998,Database connection refused,timeout,rollback,184,"config,timeout"
18,2025-11-07T04:51:36.488432,postgres,CRITICAL,ERR_6214,Out of memory error,network issue,rollback,375,"config,timeout"
19,2025-11-12T06:07:36.488432,order,WARNING,ERR_1600,Database connection refused,bad deployment,fix code,467,"retry,network"
20,2025-11-15T21:11:36.488432,scheduler,CRITICAL,ERR_8165,Timeout calling downstream service,schema mismatch,rollback,305,"config,db"
21,2025-11-09T03:07:36.488432,mongo,WARNING,ERR_6431,Service returned 500,invalid credentials,apply patch,471,"timeout,retry"
22,2025-11-18T02:50:36.488432,worker,CRITICAL,ERR_6625,Out of memory error,bad deployment,fix code,235,"retry,db"
23,2025-11-12T07:19:36.488432,order,CRITICAL,ERR_1591,Database connection refused,schema mismatch,rollback,452,"db,timeout"
24,2025-11-05T22:56:36.488432,auth-service,ERROR,ERR_3989,Unhandled exception in worker,schema mismatch,rollback,399,"network,db"
25,2025-11-17T23:37:36.488432,inventory,WARNING,ERR_3159,Unhandled exception in worker,bad deployment,fix code,334,"timeout,db"
26,2025-11-13T22:51:36.488432,order,CRITICAL,ERR_3653,Service returned 500,bad deployment,increase resources,388,"network,config"
27,2025-11-26T19:23:36.488432,user,ERROR,ERR_4756,Database connection refused,timeout,restart service,464,"timeout,network"
28,2025-11-26T12:18:36.488432,inventory,WARNING,ERR_4740,Database connection refused,bad deployment,apply patch,167,"timeout,retry"
29,2025-11-12T07:55:36.488432,payment,CRITICAL,ERR_1908,Unhandled exception in worker,network issue,apply patch,290,"db,timeout"
30,2025-11-11T17:11:36.488432,inventory,WARNING,ERR_6899,Null pointer dereference,invalid credentials,restart service,307,"db,config"
31,2025-11-10T13:07:36.488432,search,CRITICAL,ERR_1965,Service returned 500,bad deployment,rollback,50,"db,retry"
32,2025-11-16T13:59:36.488432,auth-service,ERROR,ERR_6279,Timeout calling downstream service,bad deployment,contact infra,77,"network,config"
33,2025-11-21T07:11:36.488432,search,INFO,ERR_6398,Permission denied accessing resource,timeout,restart service,222,"network,db"
34,2025-11-26T15:49:36.488432,order,WARNING,ERR_5591,Timeout calling downstream service,invalid credentials,fix code,327,"network,retry"
35,2025-11-19T15:51:36.488432,user,INFO,ERR_4750,Service returned 500,timeout,contact infra,254,"config,db"
36,2025-11-08T23:27:36.488432,postgres,ERROR,ERR_2021,Timeout calling downstream service,invalid credentials,rollback,168,"config,timeout"
37,2025-11-30T23:11:36.488432,worker,WARNING,ERR_2165,Out of memory error,schema mismatch,apply patch,167,"network,db"
38,2025-11-09T10:16:36.488432,auth-service,INFO,ERR_4727,Permission denied accessing resource,schema mismatch,contact infra,126,"network,retry"
39,2025-11-21T08:29:36.488432,redis,INFO,ERR_1857,Permission denied accessing resource,timeout,rollback,381,"config,network"
40,2025-11-20T08:01:36.489427,user,CRITICAL,ERR_6801,Database connection refused,bad deployment,restart service,137,"timeout,db"
41,2025-11-08T09:08:36.489427,inventory,WARNING,ERR_6823,Service returned 500,schema mismatch,contact infra,341,"retry,network"
42,2025-11-23T17:57:36.489427,api-gateway,ERROR,ERR_1962,Service returned 500,network issue,increase resources,33,"timeout,db"
43,2025-11-11T21:35:36.489427,nginx,INFO,ERR_5517,Service returned 500,schema mismatch,restart service,439,"network,timeout"
44,2025-11-14T13:42:36.489427,scheduler,CRITICAL,ERR_2477,Permission denied accessing resource,schema mismatch,increase resources,27,"network,db"
45,2025-11-16T20:11:36.489427,user,INFO,ERR_4463,Service returned 500,schema mismatch,fix code,386,"retry,timeout"
46,2025-11-10T00:11:36.489427,api-gateway,WARNING,ERR_3402,Timeout calling downstream service,invalid credentials,contact infra,169,"timeout,db"
47,2025-11-15T04:20:36.489427,mongo,INFO,ERR_4399,Permission denied accessing resource,invalid credentials,restart service,455,"config,timeout"
48,2025-12-02T03:48:36.489427,api-gateway,INFO,ERR_6091,Out of memory error,timeout,increase resources,13,"config,retry"
49,2025-11-16T13:13:36.489427,order,INFO,ERR_2732,Permission denied accessing resource,invalid credentials,rollback,498,"config,db"
50,2025-11-26T07:36:36.489427,postgres,WARNING,ERR_6175,Out of memory error,bad deployment,increase resources,492,"network,config"
51,2025-12-01T07:03:36.489427,scheduler,INFO,ERR_8786,Timeout calling downstream service,bad deployment,restart service,167,"db,timeout"
52,2025-11-14T01:56:36.489427,scheduler,INFO,ERR_2187,Permission denied accessing resource,insufficient resources,contact infra,217,"retry,timeout"
53,2025-11-24T22:01:36.489427,user,INFO,ERR_6049,Null pointer dereference,insufficient resources,restart service,418,"config,retry"
54,2025-11-30T08:38:36.489427,worker,CRITICAL,ERR_2630,Service returned 500,bad deployment,increase resources,148,"retry,db"
55,2025-12-01T16:10:36.489427,mongo,WARNING,ERR_8346,Out of memory error,invalid credentials,apply patch,325,"timeout,db"
56,2025-11-09T11:13:36.489427,redis,ERROR,ERR_6681,Permission denied accessing resource,network issue,rollback,377,"timeout,network"
57,2025-11-28T23:16:36.489427,scheduler,WARNING,ERR_4057,Out of memory error,network issue,contact infra,56,"db,network"
58,2025-11-11T12:40:36.489427,worker,WARNING,ERR_6471,Unhandled exception in worker,network issue,fix code,108,"network,db"
59,2025-11-23T03:00:36.489427,user,CRITICAL,ERR_7532,Permission denied accessing resource,timeout,rollback,373,"config,timeout"
60,2025-11-16T18:03:36.489427,inventory,INFO,ERR_6636,Null pointer dereference,network issue,fix code,145,"config,timeout"
61,2025-11-08T02:19:36.489427,search,CRITICAL,ERR_4265,Out of memory error,bad deployment,contact infra,221,"network,db"
62,2025-11-10T01:29:36.489427,nginx,WARNING,ERR_9128,Permission denied accessing resource,bad deployment,fix code,260,"retry,timeout"
63,2025-11-22T07:17:36.489427,nginx,INFO,ERR_8359,Out of memory error,bad deployment,rollback,80,"retry,config"
64,2025-11-16T17:48:36.489427,api-gateway,WARNING,ERR_7347,Out of memory error,bad deployment,restart service,207,"db,config"
65,2025-11-30T10:19:36.489427,api-gateway,INFO,ERR_7505,Database connection refused,network issue,restart service,350,"config,timeout"
66,2025-11-23T13:21:36.489427,nginx,ERROR,ERR_8045,Timeout calling downstream service,invalid credentials,fix code,88,"timeout,db"
67,2025-11-14T09:13:36.489427,nginx,WARNING,ERR_7951,Null pointer dereference,bad deployment,increase resources,144,"timeout,network"
68,2025-11-28T04:28:36.489427,order,INFO,ERR_5571,Unhandled exception in worker,bad deployment,contact infra,73,"retry,config"
69,2025-11-11T04:32:36.489427,api-gateway,CRITICAL,ERR_6424,Permission denied accessing resource,insufficient resources,apply patch,441,"config,network"
70,2025-11-21T06:17:36.489427,worker,CRITICAL,ERR_6502,Out of memory error,bad deployment,restart service,106,"config,db"
71,2025-11-15T23:52:36.489427,auth-service,CRITICAL,ERR_8563,Permission denied accessing resource,invalid credentials,apply patch,358,"config,network"
72,2025-12-02T17:12:36.489427,redis,ERROR,ERR_6764,Service returned 500,network issue,apply patch,174,"network,config"
73,2025-11-07T17:17:36.489427,payment,ERROR,ERR_5727,Service returned 500,insufficient resources,increase resources,103,"config,db"
74,2025-12-01T22:47:36.489427,search,ERROR,ERR_3717,Service returned 500,schema mismatch,restart service,261,"timeout,db"
75,2025-11-29T08:48:36.489427,nginx,CRITICAL,ERR_8066,Null pointer dereference,bad deployment,contact infra,493,"db,timeout"
76,2025-11-14T00:51:36.489427,inventory,WARNING,ERR_7071,Database connection refused,timeout,contact infra,179,"retry,config"
77,2025-11-10T19:28:36.489427,worker,ERROR,ERR_1400,Unhandled exception in worker,network issue,apply patch,317,"config,db"
78,2025-11-09T13:24:36.489427,order,INFO,ERR_1131,Unhandled exception in worker,insufficient resources,rollback,242,"network,db"
79,2025-11-27T04:39:36.489427,order,ERROR,ERR_3068,Out of memory error,schema mismatch,apply patch,56,"db,network"
80,2025-11-11T03:18:36.489427,postgres,CRITICAL,ERR_6971,Out of memory error,timeout,apply patch,301,"db,retry"
81,2025-11-08T16:12:36.489427,payment,WARNING,ERR_3537,Null pointer dereference,invalid credentials,restart service,239,"network,timeout"
82,2025-11-19T15:27:36.489427,scheduler,WARNING,ERR_1902,Timeout calling downstream service,invalid credentials,restart service,68,"config,timeout"
83,2025-11-11T17:49:36.489427,order,WARNING,ERR_7382,Unhandled exception in worker,invalid credentials,increase resources,246,"config,retry"
84,2025-11-23T04:12:36.489427,mongo,ERROR,ERR_1297,Null pointer dereference,timeout,fix code,492,"network,retry"
85,2025-11-27T10:41:36.489427,order,WARNING,ERR_3738,Timeout calling downstream service,invalid credentials,contact infra,399,"db,network"
86,2025-11-17T23:03:36.489427,mongo,ERROR,ERR_6758,Service returned 500,invalid credentials,fix code,452,"timeout,retry"
87,2025-11-17T12:00:36.489427,nginx,INFO,ERR_3284,Timeout calling downstream service,schema mismatch,rollback,137,"timeout,network"
88,2025-11-27T11:39:36.489427,auth-service,INFO,ERR_9966,Database connection refused,network issue,restart service,294,"db,retry"
89,2025-11-21T09:46:36.489427,inventory,INFO,ERR_9726,Database connection refused,insufficient resources,fix code,250,"network,retry"
90,2025-11-19T14:45:36.489427,worker,CRITICAL,ERR_7419,Timeout calling downstream service,invalid credentials,fix code,162,"network,timeout"
91,2025-11-29T14:40:36.489427,redis,INFO,ERR_6742,Permission denied accessing resource,insufficient resources,restart service,190,"db,timeout"
92,2025-11-09T23:03:36.489427,search,WARNING,ERR_5376,Null pointer dereference,insufficient resources,increase resources,76,"config,db"
93,2025-12-01T11:09:36.489427,mongo,WARNING,ERR_6231,Timeout calling downstream service,invalid credentials,restart service,455,"retry,config"
94,2025-11-23T08:10:36.489427,order,CRITICAL,ERR_8522,Permission denied accessing resource,timeout,contact infra,323,"timeout,config"
95,2025-11-25T20:11:36.489427,mongo,WARNING,ERR_5776,Unhandled exception in worker,schema mismatch,rollback,103,"network,timeout"
